========================================================================================================================
VISIBLE CONTROLS: after_click
========================================================================================================================

seq=0001 | title='SchoppeeGirders2025.lbsx - LEAP Bridge Steel 2025' | type='Window' | class='Afx:00007FF6ECF30000:b:0000000000010003:0000000000000006:00000000005A0A61' | auto_id='' | rect={'left': -11, 'top': -11, 'right': 2571, 'bottom': 1539, 'width': 2582, 'height': 1550} | visible=True | enabled=True | source='leap_window' | parent_type='Pane' | parent_title='Desktop 1'
seq=0027 | title='LEAP Bridge Steel 2025' | type='Pane' | class='Afx:RibbonBar:ecf30000:8:10003:10' | auto_id='59398' | rect={'left': 0, 'top': -11, 'right': 2560, 'bottom': 207, 'width': 2560, 'height': 218} | visible=True | enabled=True | source='leap_descendant' | parent_type='Window' | parent_title='SchoppeeGirders2025.lbsx - LEAP Bridge Steel 2025'
seq=0033 | title='Customize Quick Access Toolbar' | type='SplitButton' | class='' | auto_id='' | rect={'left': 175, 'top': -4, 'right': 200, 'bottom': 36, 'width': 25, 'height': 40} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Quick Access Toolbar'
seq=0028 | title='Application menu' | type='Button' | class='' | auto_id='' | rect={'left': 0, 'top': -3, 'right': 68, 'bottom': 65, 'width': 68, 'height': 68} | visible=True | enabled=True | source='leap_descendant' | parent_type='Custom' | parent_title='LEAP Bridge Steel 2025'
seq=0029 | title='Quick Access Toolbar' | type='ToolBar' | class='' | auto_id='' | rect={'left': 70, 'top': -2, 'right': 198, 'bottom': 39, 'width': 128, 'height': 41} | visible=True | enabled=True | source='leap_descendant' | parent_type='Custom' | parent_title='LEAP Bridge Steel 2025'
seq=0030 | title='New' | type='Button' | class='' | auto_id='' | rect={'left': 72, 'top': -2, 'right': 102, 'bottom': 38, 'width': 30, 'height': 40} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Quick Access Toolbar'
seq=0031 | title='Open...' | type='Button' | class='' | auto_id='' | rect={'left': 102, 'top': -2, 'right': 132, 'bottom': 38, 'width': 30, 'height': 40} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Quick Access Toolbar'
seq=0032 | title='Save' | type='Button' | class='' | auto_id='' | rect={'left': 132, 'top': -2, 'right': 162, 'bottom': 38, 'width': 30, 'height': 40} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Quick Access Toolbar'
seq=0104 | title='System' | type='MenuBar' | class='' | auto_id='MenuBar' | rect={'left': 0, 'top': 0, 'right': 33, 'bottom': 33, 'width': 33, 'height': 33} | visible=True | enabled=True | source='leap_descendant' | parent_type='TitleBar' | parent_title=''
seq=0105 | title='System' | type='MenuItem' | class='' | auto_id='' | rect={'left': 0, 'top': 0, 'right': 33, 'bottom': 33, 'width': 33, 'height': 33} | visible=True | enabled=True | source='leap_descendant' | parent_type='MenuBar' | parent_title='System'
seq=0106 | title='Minimize' | type='Button' | class='' | auto_id='' | rect={'left': 2347, 'top': 0, 'right': 2418, 'bottom': 39, 'width': 71, 'height': 39} | visible=True | enabled=True | source='leap_descendant' | parent_type='TitleBar' | parent_title=''
seq=0107 | title='Restore' | type='Button' | class='' | auto_id='' | rect={'left': 2418, 'top': 0, 'right': 2488, 'bottom': 39, 'width': 70, 'height': 39} | visible=True | enabled=True | source='leap_descendant' | parent_type='TitleBar' | parent_title=''
seq=0108 | title='Close' | type='Button' | class='' | auto_id='' | rect={'left': 2488, 'top': 0, 'right': 2560, 'bottom': 39, 'width': 72, 'height': 39} | visible=True | enabled=True | source='leap_descendant' | parent_type='TitleBar' | parent_title=''
seq=0034 | title='Ribbon Tabs' | type='Group' | class='' | auto_id='' | rect={'left': 69, 'top': 40, 'right': 2333, 'bottom': 72, 'width': 2264, 'height': 32} | visible=True | enabled=True | source='leap_descendant' | parent_type='Custom' | parent_title='LEAP Bridge Steel 2025'
seq=0035 | title='Home' | type='TabItem' | class='' | auto_id='' | rect={'left': 69, 'top': 40, 'right': 145, 'bottom': 72, 'width': 76, 'height': 32} | visible=True | enabled=True | source='leap_descendant' | parent_type='Group' | parent_title='Ribbon Tabs'
seq=0036 | title='Mode' | type='TabItem' | class='' | auto_id='' | rect={'left': 145, 'top': 40, 'right': 219, 'bottom': 72, 'width': 74, 'height': 32} | visible=True | enabled=True | source='leap_descendant' | parent_type='Group' | parent_title='Ribbon Tabs'
